District_Name,Transaction_count
Nagaon ,249.0
Nagapattinam ,172.25
Nagarkurnool ,246.5
Nagaur ,512.0
Nagpur ,3659.5
Nainital ,360.0
Nalanda ,438.75
Nalbari ,100.75
Nalgonda ,830.25
Namakkal ,341.75
Namsai ,12.0
Nanded ,909.75
Nandurbar ,328.75
Narayanpet ,93.75
Narayanpur ,28.0
Narmada ,47.25
Narsinghpur ,161.75
Nashik ,3697.75
Navsari ,197.0
Nawada ,209.25
Nayagarh ,109.0
Neemuch ,151.25
New Delhi ,1882.25
Nicobars ,19.0
Nirmal ,305.5
Niwari ,34.75
Nizamabad ,680.0
Noney ,1.5
North ,880.625
North And Middle Andaman ,47.5
North East ,1144.5
North Garo Hills ,2.75
North Goa ,736.5
North Tripura ,45.75
North Twenty Four Parganas ,3603.0
North West ,1958.25
Nuapada ,67.5
Osmanabad ,456.5
Pakke Kessang ,3.0
Pakur ,49.0
Palakkad ,643.25
Palamu ,401.0
Palghar ,2058.5
Pali ,542.5
Palwal ,435.0
Panch Mahals ,228.25
Panchkula ,262.75
Panipat ,501.75
Panna ,66.0
Papum Pare ,78.0
Parbhani ,581.25
Paschim Bardhaman ,979.75
Paschim Medinipur ,675.5
Pashchim Champaran ,461.0
Patan ,224.75
Pathanamthitta ,297.5
Pathankot ,162.0
Patiala ,277.5
Patna ,3521.0
Pauri Garhwal ,202.25
Peddapalle ,518.25
Perambalur ,54.0
Peren ,2.25
Phek ,3.6666666666666665
Pherzawl ,1.0
Pilibhit ,104.75
Pithoragarh ,98.5
Poonch ,27.75
Porbandar ,67.5
Prakasam ,2180.25
Pratapgarh ,187.125
Prayagraj ,1118.25
Puducherry ,479.25
Pudukkottai ,122.5
Pulwama ,78.25
Pune ,12961.0
Purba Bardhaman ,839.75
Purba Medinipur ,533.25
Purbi Champaran ,560.5
Puri ,263.0
Purnia ,385.75
Purulia ,263.0
Rae Bareli ,210.5
Raichur ,548.75
Raigad ,2174.5
Raigarh ,301.5
Raipur ,1220.75
Raisen ,205.75
Rajanna Sircilla ,226.5
Rajgarh ,209.0
Rajkot ,512.25
Rajnandgaon ,201.25
Rajouri ,48.5
Rajsamand ,235.0
Ramanagara ,779.5
Ramanathapuram ,151.75
Ramban ,18.75
Ramgarh ,247.0
Rampur ,237.75
Ranchi ,1444.25
Rangareddy ,5584.5
Ranipet ,224.0
Ratlam ,295.5
Ratnagiri ,428.75
Rayagada ,196.75
Reasi ,38.5
Rewa ,334.5
Rewari ,975.0
Ribhoi ,23.0
Rohtak ,440.75
Rohtas ,378.75
Rudraprayag ,35.0
Rupnagar ,132.75
Sabar Kantha ,244.0
Sagar ,336.5
Saharanpur ,578.75
Saharsa ,239.0
Sahebganj ,71.5
Saiha ,2.6666666666666665
Salem ,708.25
Samastipur ,657.5
Samba ,91.5
Sambalpur ,289.25
Sambhal ,104.5
Sangareddy ,1247.5
Sangli ,849.75
Sangrur ,238.0
Sant Kabeer Nagar ,139.25
Saraikela Kharsawan ,229.0
Saran ,632.25
Sas Nagar ,702.75
Satara ,1100.5
Satna ,365.75
Sawai Madhopur ,216.25
Sehore ,268.75
Senapati ,3.0
Seoni ,184.25
Sepahijala ,32.75
Serchhip ,2.75
Shahdara ,1104.5
Shahdol ,159.5
Shahid Bhagat Singh Nagar ,44.5
Shahjahanpur ,202.75
Shajapur ,149.75
Shamli ,245.5
Sheikhpura ,94.0
Sheohar ,129.5
Sheopur ,42.0
Shi Yomi ,1.0
