District_Name,Transaction_count
Lahul And Spiti ,210275.5
Lakhimpur ,3432514.75
Lakhisarai ,5086059.75
Lakshadweep ,42918.5
Lalitpur ,6835882.5
Latehar ,5345480.5
Latur ,42749284.75
Lawngtlai ,115535.5
Leh Ladakh ,2202700.75
Lepa Rada ,132577.5
Lohardaga ,2782812.25
Lohit ,638899.25
Longding ,141267.5
Longleng ,29783.0
Lower Dibang Valley ,355665.0
Lower Siang ,125700.0
Lower Subansiri ,410184.0
Lucknow ,80328373.25
Ludhiana ,23925199.25
Lunglei ,145410.25
Madhepura ,12499114.5
Madhubani ,25787950.25
Madurai ,14633317.75
Mahabubabad ,13741629.5
Maharajganj ,10012325.0
Mahasamund ,8200680.75
Mahbubnagar ,24614890.25
Mahe ,274308.25
Mahendragarh ,12500026.25
Mahesana ,14665463.5
Mahisagar ,2054811.5
Mahoba ,4151514.5
Mainpuri ,9709896.0
Majuli ,323986.5
Malappuram ,17406717.5
Maldah ,26992242.25
Malkangiri ,4453028.0
Mamit ,80999.5
Mancherial ,24285033.5
Mandi ,2688080.75
Mandla ,5739889.25
Mandsaur ,15856845.75
Mandya ,33499755.75
Mansa ,1197627.25
Marigaon ,4522266.0
Mathura ,29747214.0
Mau ,9783573.25
Mayurbhanj ,15161797.0
Medak ,15019410.5
Medchal Malkajgiri ,313980625.25
Meerut ,32478152.75
Mewat ,23630796.0
Mirpur ,175045.0
Mirzapur ,8687212.25
Moga ,1833591.25
Mokokchung ,159649.0
Mon ,155847.0
Moradabad ,20162737.5
Morbi ,5901483.25
Morena ,14051334.75
Mulugu ,5575466.5
Mumbai ,54380456.0
Mumbai Suburban ,139078981.75
Mungeli ,3818628.75
Munger ,7514794.25
Murshidabad ,39234765.5
Muzaffarabad ,36173.75
Muzaffarnagar ,19938730.5
Muzaffarpur ,39121474.75
Mysuru ,83564406.0
Nabarangpur ,6498643.5
Nadia ,28687764.0
Nagaon ,9128126.5
Nagapattinam ,3848678.0
Nagarkurnool ,19788748.25
Nagaur ,36969112.0
Nagpur ,103905234.25
Nainital ,8483334.25
Nalanda ,15054383.5
Nalbari ,2460242.75
Nalgonda ,43979360.25
Namakkal ,8793495.75
Namsai ,436481.0
Nanded ,44195759.25
Nandurbar ,10407657.0
Narayanpet ,7276840.0
Narayanpur ,991663.75
Narmada ,1629982.75
Narsinghpur ,9511805.0
Nashik ,141672903.0
Navsari ,4880444.5
Nawada ,11254836.0
Nayagarh ,9962427.75
Neemuch ,9760961.25
New Delhi ,60181190.0
Nicobars ,121428.5
Nirmal ,11943038.0
Niwari ,2446734.0
Nizamabad ,36376211.0
Noney ,21334.5
North ,21361323.0
North And Middle Andaman ,190529.25
North East ,24209957.5
North Garo Hills ,135345.25
North Goa ,18533362.5
North Tripura ,1089994.0
North Twenty Four Parganas ,105304595.75
North West ,42518406.25
Nuapada ,4277848.75
Osmanabad ,26642592.25
Pakke Kessang ,35989.25
Pakur ,2804370.25
Palakkad ,9308456.75
Palamu ,18741472.5
Palghar ,43892087.25
Pali ,20416609.0
Palwal ,22739028.5
Panch Mahals ,5356503.0
Panchkula ,5623579.0
Panipat ,13989652.25
Panna ,5223235.75
Papum Pare ,4724280.75
Parbhani ,21648891.5
Paschim Bardhaman ,28577986.25
Paschim Medinipur ,28764853.75
Pashchim Champaran ,32040751.25
Patan ,8033562.75
Pathanamthitta ,3850889.5
Pathankot ,3849168.0
Patiala ,7944031.5
Patna ,90507569.25
Pauri Garhwal ,3573349.25
Peddapalle ,23564158.5
Perambalur ,2150879.5
Peren ,52421.5
Phek ,82138.5
Pherzawl ,4522.25
Pilibhit ,6214608.0
Pithoragarh ,1643326.0
Poonch ,1332114.0
Porbandar ,906595.75
Prakasam ,77859688.25
Pratapgarh ,8499807.375
Prayagraj ,43609268.25
Puducherry ,9350741.75
Pudukkottai ,4059285.25
Pulwama ,2302901.75
Pune ,589869636.75
Purba Bardhaman ,20721890.0
Purba Medinipur ,32797850.75
Purbi Champaran ,43932895.5
Puri ,27136165.25
Purnia ,25244808.25
Purulia ,12282400.25
Rae Bareli ,7462964.0
Raichur ,31610152.0
Raigad ,58487544.25
Raigarh ,17919707.5
Raipur ,56102383.5
Raisen ,15861134.0
Rajanna Sircilla ,12444550.25
Rajgarh ,17833434.5
Rajkot ,12728823.75
Rajnandgaon ,10237699.0
Rajouri ,1902179.0
Rajsamand ,11916235.0
Ramanagara ,35282382.25
Ramanathapuram ,3579876.5
Ramban ,1136147.25
Ramgarh ,13412498.5
Rampur ,10567722.25
